id,correctAnswer
102501,C
102502,C
102503,B
102504,C
102505,D
102506,C
102507,C
102508,A
102509,B
102510,A
102511,A
102512,B
102513,D
102514,D
102515,D
102516,A
102517,A
102518,A
102519,B
102520,A
102521,A
102522,B
102523,A
102524,B
102525,C
102526,D
102527,C
102528,D
102529,B
102530,B
102531,D
102532,A
102533,C
102534,A
102535,C
102536,C
102537,D
102538,A
102539,D
102540,D
102541,B
102542,D
102543,D
102544,C
102545,D
102546,B
102547,A
102548,A
102549,D
102550,C
102551,A
102552,A
102553,C
102554,C
102555,C
102556,D
102557,C
102558,A
102559,A
102560,C
102561,A
102562,B
102563,B
102564,C
102565,C
102566,B
102567,C
102568,A
102569,A
102570,B
102571,B
102572,A
102573,D
102574,C
102575,C
102576,B
102577,A
102578,C
102579,D
102580,A
102581,D
102582,B
102583,C
102584,C
102585,C
102586,A
102587,D
102588,B
102589,A
102590,D
102591,B
102592,A
102593,B
102594,C
102595,D
102596,A
102597,A
102598,C
102599,A
102600,D
102601,B
102602,B
102603,C
102604,A
102605,A
102606,C
102607,A
102608,A
102609,A
102610,C
102611,A
102612,D
102613,C
102614,C
102615,B
102616,A
102617,A
102618,B
102619,D
102620,C
102621,B
102622,C
102623,B
102624,B
102625,B
102626,A
102627,D
102628,C
102629,B
102630,A
102631,A
102632,B
102633,A
102634,A
102635,C
102636,D
102637,B
102638,D
102639,D
102640,A
102641,D
102642,A
102643,B
102644,D
102645,B
102646,A
102647,C
102648,B
102649,A
102650,D
102651,C
102652,A
102653,A
102654,A
102655,D
102656,B
102657,B
102658,C
102659,C
102660,C
102661,B
102662,A
102663,C
102664,C
102665,D
102666,C
102667,B
102668,B
102669,B
102670,A
102671,C
102672,A
102673,D
102674,C
102675,B
102676,A
102677,C
102678,C
102679,D
102680,A
102681,B
102682,B
102683,B
102684,B
102685,A
102686,D
102687,D
102688,C
102689,D
102690,D
102691,D
102692,C
102693,B
102694,A
102695,C
102696,B
102697,A
102698,A
102699,A
102700,C
102701,A
102702,D
102703,C
102704,B
102705,B
102706,A
102707,C
102708,C
102709,A
102710,D
102711,C
102712,C
102713,A
102714,D
102715,A
102716,B
102717,B
102718,B
102719,C
102720,B
102721,C
102722,A
102723,A
102724,D
102725,A
102726,B
102727,B
102728,A
102729,C
102730,B
102731,B
102732,D
102733,A
102734,B
102735,A
102736,B
102737,C
102738,D
102739,A
102740,A
102741,C
102742,A
102743,C
102744,B
102745,C
102746,D
102747,A
102748,B
102749,D
102750,A
102751,A
102752,D
102753,A
102754,A
102755,B
102756,A
102757,B
102758,B
102759,A
102760,A
102761,A
102762,B
102763,B
102764,B
102765,B
102766,D
102767,C
102768,C
102769,C
102770,D
102771,D
102772,C
102773,C
102774,C
102775,A
102776,C
102777,A
102778,C
102779,C
102780,B
102781,A
102782,B
102783,A
102784,C
102785,A
102786,A
102787,B
102788,B
102789,D
102790,B
102791,C
102792,A
102793,B
102794,A
102795,B
102796,B
102797,A
102798,A
102799,D
102800,C
102801,D
102802,C
102803,D
102804,A
102805,D
102806,B
102807,D
102808,B
102809,D
102810,D
102811,C
102812,A
102813,B
102814,A
102815,B
102816,B
102817,D
102818,B
102819,C
102820,A
102821,A
102822,D
102823,B
102824,C
102825,B
102826,A
102827,B
102828,A
102829,A
102830,A
102831,D
102832,A
102833,C
102834,B
102835,B
102836,D
102837,D
102838,B
102839,C
102840,D
102841,B
102842,B
102843,B
102844,D
102845,B
102846,A
102847,D
102848,C
102849,D
102850,B
102851,D
102852,A
102853,B
102854,C
102855,B
102856,D
102857,B
102858,A
102859,A
102860,D
102861,C
102862,D
102863,A
102864,C
102865,C
102866,C
102867,B
102868,B
102869,A
102870,B
102871,A
102872,A
102873,D
102874,B
102875,B
102876,A
102877,B
102878,C
102879,B
102880,A
102881,C
102882,B
102883,B
102884,A
102885,A
102886,B
102887,B
102888,B
102889,C
102890,C
102891,A
102892,C
102893,B
102894,A
102895,B
102896,A
102897,A
102898,C
102899,D
102900,A
102901,A
102902,D
102903,A
102904,A
102905,B
102906,A
102907,B
102908,B
102909,D
102910,B
102911,D
102912,D
102913,A
102914,B
102915,C
102916,D
102917,C
102918,C
102919,C
102920,B
102921,D
102922,A
102923,B
102924,C
102925,C
102926,D
102927,A
102928,A
102929,A
102930,B
102931,B
102932,D
102933,C
102934,A
102935,C
102936,C
102937,A
102938,C
102939,D
102940,D
102941,A
102942,B
102943,B
102944,D
102945,D
102946,C
102947,D
102948,D
102949,B
102950,C
102951,D
102952,D
102953,C
102954,D
102955,D
102956,B
102957,C
102958,A
102959,B
102960,D
102961,B
102962,D
102963,B
102964,C
102965,A
102966,D
102967,A
102968,A
102969,D
102970,C
102971,A
102972,D
102973,D
102974,D
102975,D
102976,B
102977,A
102978,A
102979,B
102980,C
102981,D
102982,A
102983,B
102984,D
102985,B
102986,B
102987,B
102988,D
102989,B
102990,D
102991,A
102992,A
102993,C
102994,C
102995,B
102996,B
102997,D
102998,B
102999,C
103000,D
103001,D
103002,A
103003,D
103004,A
103005,B
103006,B
103007,C
103008,B
103009,D
103010,A
103011,D
103012,B
103013,C
103014,B
103015,C
103016,C
103017,C
103018,B
103019,C
103020,B
103021,D
103022,B
103023,C
103024,C
