1	3	1	0	what ( what Jon Arryn is the side one commander of and whose first side is House Greyjoy ) is a conflict of	:Jon_Arryn,:House_Greyjoy	:Battle_of_the_Trident,:Sack_of_King's_Landing,:Siege_of_Storm's_End,:Battle_of_the_Bells,:Showdown_at_the_Tower_of_Joy,:Execution_of_Rickard_and_Brandon_Stark,:Wildfire_Plot,:Battle_of_Ashford,:Assault_on_Dragonstone,:Battle_of_Summerhall
2	2	1	0	( Garth Greenhand is founder of and regional capital is Highgarden )	:Highgarden,:Garth_Gardener	:The_Reach,:Kingdom_of_the_Reach
3	1	0	0	side one commander of Battle of the Blackwater	:Battle_of_the_Blackwater	:Tyrion_Lannister,:Joffrey_Baratheon,:Tywin_Lannister,:Hand_of_the_King,:Mace_Tyrell,:Loras_Tyrell,:Lancel_Lannister,:Sandor_Clegane,:Bronn,:Boros_Blount,:Mandon_Moore,:Hallyne
4	1	0	0	those allied with House Umber	:House_Umber	:Gareth_Umber,:Regan_Karstark,:Joseth_Umber,:Mycah_Umber,:Hothor_Umber,:Corin_Umber,:Lucan_Umber,:Harkon_Umber,:Amarylis_Umber,:Morag_Umber,:Jon_Umber_(Greatjon),:Hollys_Umber,:Morgana_Umber,:Finn_Umber,:Kear_Umber,:Brandon_Umber,:Emilia_Umber,:Daragh_Umber,:Jon_Umber_(Smalljon),:Katrina_Umber,:Maynard_Umber,:Cedric_Umber
5	1	0	0	Ghiscari live in	:Ghiscari	:Meereen,:Astapor,:Yunkai
6	3	0	0	whose second side is title of who appeared in Season 1	:Season_1	:War_of_the_Five_Kings,:Destruction_of_the_Great_Sept_of_Baelor,:War_of_Conquest,:Dance_of_the_Dragons,:Massacre_in_the_Red_Keep,:Second_Siege_of_Riverrun,:Battle_at_the_Mummer's_Ford,:Battle_of_the_Whispering_Wood,:Liberation_of_Harrenhal,:Massacre_in_King's_Landing,:Battle_of_Stone_Mill,:Battle_of_Oxcross,:Battle_of_the_Camps,:Assassination_at_the_Tower_of_the_Hand,:Raid_by_the_Gods_Eye,:Battle_of_the_Yellow_Fork,:First_Trial_by_Combat_of_Tyrion_Lannister,:Fall_of_the_Night's_King,:Liberation_of_Stone_Hedge,:Liberation_of_Raventree_Hall,:Gorne_and_Gendel's_War
7	3	1	1	( whose religion is allegiance of Unella and what first side of Andal Invasion is )	:Andal_Invasion,:Unella	:Kingdom_of_the_North,:The_Vale_of_Arryn,:Kingdom_of_the_Stormlands,:Kingdom_of_the_Reach,:Kingdom_of_the_River_and_the_Hills,:Kingdom_of_the_Iron_Islands,:Kingdom_of_the_Rock
8	3	1	0	whose first side is ( where Kraznys mo Nakloz died for second side and whose first side is House Targaryen )	:Kraznys_mo_Nakloz,:House_Targaryen	:Liberation_of_Slaver's_Bay
9	2	0	0	side two commander of happened in King's Landing	:King's_Landing	:Stannis_Baratheon,:Joffrey_Baratheon,:Aerys_II_Targaryen,:Cersei_Lannister,:Hand_of_the_King,:Rhaenyra_Targaryen,:Petyr_Baelish,:Daemon_I_Blackfyre,:Daemon_Targaryen,:Davos_Seaworth,:Olenna_Tyrell,:Janos_Slynt,:High_Sparrow,:Aegor_Rivers,:Rossart,:Matthos_Seaworth,:Master_of_Coin,:Imry_Florent,:Salladhor_Saan,:Baratheon_officer,:High_Septon
10	3	1	1	( whose father is You Win or You Die is the last of and first side casualty of Massacre in King's Landing )	:Massacre_in_King's_Landing,:You_Win_or_You_Die	:Barra,:Gendry
