id,correctAnswer
102501,A
102502,B
102503,B
102504,C
102505,D
102506,D
102507,C
102508,B
102509,B
102510,A
102511,A
102512,D
102513,A
102514,D
102515,D
102516,A
102517,A
102518,A
102519,B
102520,A
102521,D
102522,B
102523,A
102524,B
102525,D
102526,B
102527,C
102528,D
102529,B
102530,D
102531,D
102532,C
102533,A
102534,A
102535,D
102536,B
102537,B
102538,A
102539,D
102540,C
102541,C
102542,D
102543,C
102544,D
102545,D
102546,B
102547,D
102548,D
102549,D
102550,C
102551,A
102552,A
102553,C
102554,C
102555,C
102556,A
102557,C
102558,D
102559,B
102560,A
102561,D
102562,B
102563,B
102564,A
102565,C
102566,B
102567,D
102568,D
102569,D
102570,D
102571,C
102572,A
102573,D
102574,B
102575,D
102576,B
102577,A
102578,A
102579,C
102580,B
102581,B
102582,B
102583,C
102584,D
102585,C
102586,D
102587,D
102588,C
102589,A
102590,D
102591,B
102592,D
102593,B
102594,D
102595,D
102596,C
102597,A
102598,D
102599,A
102600,D
102601,C
102602,C
102603,C
102604,A
102605,A
102606,A
102607,A
102608,C
102609,A
102610,B
102611,C
102612,D
102613,C
102614,A
102615,B
102616,B
102617,B
102618,B
102619,C
102620,C
102621,C
102622,B
102623,C
102624,C
102625,D
102626,B
102627,D
102628,A
102629,A
102630,A
102631,D
102632,A
102633,A
102634,A
102635,B
102636,A
102637,B
102638,D
102639,A
102640,A
102641,D
102642,D
102643,A
102644,A
102645,D
102646,A
102647,C
102648,B
102649,A
102650,B
102651,C
102652,B
102653,A
102654,A
102655,D
102656,B
102657,D
102658,C
102659,D
102660,C
102661,B
102662,D
102663,A
102664,B
102665,D
102666,C
102667,B
102668,B
102669,C
102670,C
102671,C
102672,A
102673,D
102674,A
102675,C
102676,B
102677,B
102678,A
102679,C
102680,A
102681,B
102682,C
102683,A
102684,D
102685,A
102686,B
102687,A
102688,A
102689,D
102690,D
102691,D
102692,C
102693,B
102694,A
102695,C
102696,C
102697,A
102698,A
102699,A
102700,B
102701,B
102702,D
102703,C
102704,C
102705,B
102706,D
102707,C
102708,C
102709,A
102710,B
102711,C
102712,B
102713,B
102714,D
102715,D
102716,A
102717,B
102718,B
102719,A
102720,B
102721,C
102722,A
102723,A
102724,B
102725,A
102726,C
102727,C
102728,A
102729,C
102730,B
102731,B
102732,A
102733,C
102734,B
102735,A
102736,B
102737,C
102738,D
102739,A
102740,A
102741,C
102742,A
102743,C
102744,B
102745,C
102746,D
102747,A
102748,B
102749,B
102750,A
102751,A
102752,D
102753,A
102754,A
102755,B
102756,A
102757,B
102758,D
102759,A
102760,A
102761,C
102762,D
102763,B
102764,B
102765,B
102766,D
102767,C
102768,C
102769,D
102770,A
102771,D
102772,A
102773,D
102774,C
102775,A
102776,C
102777,A
102778,C
102779,C
102780,B
102781,A
102782,A
102783,A
102784,A
102785,A
102786,C
102787,B
102788,B
102789,D
102790,D
102791,C
102792,C
102793,A
102794,C
102795,D
102796,B
102797,A
102798,A
102799,D
102800,B
102801,D
102802,B
102803,D
102804,A
102805,D
102806,B
102807,D
102808,B
102809,D
102810,C
102811,C
102812,A
102813,B
102814,C
102815,B
102816,A
102817,D
102818,B
102819,A
102820,A
102821,C
102822,B
102823,B
102824,B
102825,B
102826,A
102827,B
102828,A
102829,C
102830,C
102831,B
102832,A
102833,C
102834,A
102835,C
102836,D
102837,B
102838,C
102839,D
102840,D
102841,B
102842,B
102843,A
102844,D
102845,C
102846,A
102847,D
102848,C
102849,A
102850,A
102851,B
102852,A
102853,B
102854,D
102855,A
102856,B
102857,B
102858,A
102859,A
102860,C
102861,C
102862,D
102863,A
102864,C
102865,C
102866,C
102867,D
102868,B
102869,A
102870,A
102871,A
102872,D
102873,A
102874,B
102875,D
102876,A
102877,B
102878,C
102879,B
102880,C
102881,D
102882,B
102883,B
102884,A
102885,A
102886,B
102887,B
102888,B
102889,C
102890,C
102891,C
102892,B
102893,D
102894,D
102895,D
102896,B
102897,A
102898,C
102899,B
102900,A
102901,C
102902,B
102903,A
102904,A
102905,B
102906,A
102907,B
102908,B
102909,C
102910,A
102911,D
102912,D
102913,C
102914,B
102915,C
102916,D
102917,C
102918,C
102919,C
102920,B
102921,D
102922,A
102923,A
102924,C
102925,A
102926,D
102927,A
102928,A
102929,A
102930,C
102931,A
102932,D
102933,C
102934,B
102935,C
102936,D
102937,D
102938,D
102939,C
102940,D
102941,A
102942,B
102943,B
102944,B
102945,D
102946,D
